# Wave	Vel	NormFlux	NormErr	Flux	Error	Continuum
1134.3200	-25.08	0.1381	0.0744	1.0088e-15	5.4346e-16	7.3043e-15
1134.3499	-17.17	0.2424	0.0937	1.7701e-15	6.8403e-16	7.3031e-15
1134.3798	-9.27	0.4782	0.1263	3.4915e-15	9.2250e-16	7.3019e-15
1134.4097	-1.36	0.4609	0.1243	3.3652e-15	9.0782e-16	7.3007e-15
1134.4397	6.54	0.6039	0.1408	4.4084e-15	1.0278e-15	7.2995e-15
1134.4696	14.45	0.7532	0.1561	5.4970e-15	1.1394e-15	7.2983e-15
1134.4995	22.35	0.5776	0.1378	4.2148e-15	1.0053e-15	7.2971e-15
1134.5294	30.25	0.7281	0.1534	5.3118e-15	1.1193e-15	7.2959e-15
1134.5593	38.16	0.6140	0.1414	4.4792e-15	1.0313e-15	7.2947e-15
1134.5892	46.06	0.5901	0.1386	4.3039e-15	1.0108e-15	7.2935e-15
1134.6191	53.97	0.8142	0.1613	5.9375e-15	1.1761e-15	7.2923e-15
1134.6490	61.87	0.9597	0.1747	6.9972e-15	1.2739e-15	7.2912e-15
1134.6789	69.78	0.9079	0.1698	6.6188e-15	1.2379e-15	7.2900e-15
1134.7088	77.68	0.7635	0.1564	5.5652e-15	1.1397e-15	7.2888e-15
1134.7387	85.58	0.7681	0.1568	5.5976e-15	1.1428e-15	7.2876e-15
1134.7687	93.49	0.4673	0.1242	3.4050e-15	9.0463e-16	7.2864e-15
1134.7986	101.39	0.2639	0.0961	1.9223e-15	6.9993e-16	7.2852e-15
1134.8285	109.30	0.2807	0.0987	2.0444e-15	7.1894e-16	7.2840e-15
1134.8584	117.20	0.2058	0.0864	1.4988e-15	6.2888e-16	7.2828e-15
1134.8883	125.11	0.1514	0.0762	1.1026e-15	5.5459e-16	7.2816e-15
1134.9182	133.01	0.2798	0.0984	2.0372e-15	7.1662e-16	7.2804e-15
1134.9481	140.91	0.4569	0.1226	3.3260e-15	8.9273e-16	7.2792e-15
1134.9780	148.82	0.4484	0.1215	3.2635e-15	8.8419e-16	7.2780e-15
1135.0079	156.72	0.5017	0.1279	3.6508e-15	9.3094e-16	7.2768e-15
1135.0378	164.63	0.6515	0.1446	4.7400e-15	1.0520e-15	7.2756e-15
1135.0678	172.53	0.9787	0.1755	7.1194e-15	1.2770e-15	7.2744e-15
1135.0977	180.44	0.9318	0.1714	6.7769e-15	1.2466e-15	7.2733e-15
1135.1276	188.34	0.7742	0.1569	5.6299e-15	1.1407e-15	7.2721e-15
1135.1575	196.24	1.5239	0.2174	1.1080e-14	1.5807e-15	7.2709e-15
1135.1874	204.15	1.0805	0.1841	7.8550e-15	1.3380e-15	7.2697e-15
1135.2173	212.05	1.0904	0.1848	7.9256e-15	1.3432e-15	7.2685e-15
1135.2472	219.96	0.8944	0.2147	6.4996e-15	1.5601e-15	7.2673e-15
1135.2771	227.86	0.7928	0.1231	5.7607e-15	8.9416e-16	7.2661e-15
1135.3070	235.77	1.1065	0.1370	8.0386e-15	9.9510e-16	7.2649e-15
1135.3369	243.67	0.9529	0.1266	6.9215e-15	9.1934e-16	7.2637e-15
1135.3669	251.58	1.0030	0.1313	7.2842e-15	9.5377e-16	7.2625e-15
1135.3968	259.48	0.9927	0.1291	7.2084e-15	9.3728e-16	7.2613e-15
1135.4267	267.38	1.0694	0.1338	7.7640e-15	9.7136e-16	7.2601e-15
1135.4566	275.29	1.1173	0.1371	8.1104e-15	9.9516e-16	7.2589e-15
1135.4865	283.19	1.1490	0.1386	8.3390e-15	1.0060e-15	7.2577e-15
1135.5164	291.10	0.8970	0.1252	6.5088e-15	9.0872e-16	7.2565e-15
1135.5463	299.00	1.0838	0.1358	7.8635e-15	9.8511e-16	7.2554e-15
1135.5762	306.91	0.8742	0.1214	6.3415e-15	8.8043e-16	7.2542e-15
1135.6061	314.81	1.1289	0.1375	8.1880e-15	9.9736e-16	7.2530e-15
1135.6361	322.71	1.2599	0.1449	9.1368e-15	1.0505e-15	7.2518e-15
1135.6660	330.62	1.1239	0.1374	8.1486e-15	9.9610e-16	7.2506e-15
1135.6959	338.52	0.9853	0.1284	7.1430e-15	9.3105e-16	7.2494e-15
1135.7258	346.43	1.2661	0.1460	9.1773e-15	1.0579e-15	7.2482e-15
1135.7557	354.33	0.9098	0.1266	6.5930e-15	9.1777e-16	7.2470e-15
1135.7856	362.24	0.8785	0.1227	6.3656e-15	8.8878e-16	7.2458e-15
1135.8155	370.14	0.7983	0.1167	5.7830e-15	8.4544e-16	7.2446e-15
1135.8454	378.04	0.7934	0.1155	5.7473e-15	8.3690e-16	7.2434e-15
1135.8753	385.95	0.8748	0.1216	6.3355e-15	8.8039e-16	7.2422e-15
1135.9052	393.85	0.7117	0.1103	5.1535e-15	7.9901e-16	7.2410e-15
1135.9352	401.76	0.8078	0.1171	5.8486e-15	8.4768e-16	7.2398e-15
1135.9651	409.66	0.8122	0.1177	5.8795e-15	8.5212e-16	7.2386e-15
1135.9950	417.57	1.1450	0.1380	8.2870e-15	9.9900e-16	7.2374e-15
1136.0249	425.47	1.1301	0.1371	8.1774e-15	9.9202e-16	7.2363e-15
1136.0548	433.37	0.9992	0.1358	7.2294e-15	9.8230e-16	7.2351e-15
1136.0847	441.28	1.1490	0.1394	8.3121e-15	1.0085e-15	7.2339e-15
1136.1146	449.18	0.9768	0.1275	7.0651e-15	9.2242e-16	7.2327e-15
1136.1445	457.09	0.8520	0.1194	6.1610e-15	8.6316e-16	7.2315e-15
1136.1744	464.99	1.0765	0.1341	7.7837e-15	9.6954e-16	7.2303e-15
1136.2043	472.90	1.1179	0.1366	8.0814e-15	9.8727e-16	7.2291e-15
1136.2342	480.80	1.2176	0.1418	8.8009e-15	1.0253e-15	7.2279e-15
1136.2642	488.70	1.0414	0.1319	7.5257e-15	9.5308e-16	7.2267e-15
1136.2941	496.61	0.9545	0.1260	6.8965e-15	9.1059e-16	7.2255e-15
1136.3240	504.51	0.8980	0.1222	6.4871e-15	8.8266e-16	7.2243e-15
1136.3539	512.42	0.9887	0.1314	7.1413e-15	9.4945e-16	7.2231e-15
1136.3838	520.32	0.8086	0.1172	5.8396e-15	8.4666e-16	7.2219e-15
1136.4137	528.23	1.1817	0.1403	8.5325e-15	1.0130e-15	7.2207e-15
1136.4436	536.13	0.8913	0.1217	6.4344e-15	8.7890e-16	7.2195e-15
1136.4735	544.04	1.1099	0.1370	8.0115e-15	9.8911e-16	7.2183e-15
1136.5034	551.94	0.9812	0.1324	7.0811e-15	9.5540e-16	7.2171e-15
1136.5333	559.84	0.8295	0.1178	5.9859e-15	8.5007e-16	7.2159e-15
1136.5633	567.75	1.0346	0.1308	7.4647e-15	9.4395e-16	7.2147e-15
1136.5932	575.65	0.8306	0.1176	5.9916e-15	8.4800e-16	7.2135e-15
1136.6231	583.56	0.8032	0.1176	5.7930e-15	8.4828e-16	7.2123e-15
1136.6530	591.46	1.0180	0.1301	7.3406e-15	9.3790e-16	7.2111e-15
1136.6829	599.37	1.0906	0.1341	7.8630e-15	9.6682e-16	7.2099e-15
1136.7128	607.27	0.9312	0.1243	6.7129e-15	8.9634e-16	7.2087e-15
1136.7427	615.17	0.8006	0.1192	5.7704e-15	8.5926e-16	7.2075e-15
