# Wave	Vel	NormFlux	NormErr	Flux	Error	Continuum
1147.4934	3456.26	0.8243	0.1500	3.1698e-15	5.7662e-16	3.8452e-15
1147.5233	3464.16	0.7230	0.1416	2.7794e-15	5.4412e-16	3.8440e-15
1147.5532	3472.07	0.7486	0.1437	2.8767e-15	5.5222e-16	3.8427e-15
1147.5831	3479.97	0.9806	0.1614	3.7671e-15	6.2019e-16	3.8415e-15
1147.6130	3487.87	0.8508	0.1520	3.2673e-15	5.8362e-16	3.8403e-15
1147.6429	3495.78	0.9559	0.1626	3.6696e-15	6.2420e-16	3.8390e-15
1147.6728	3503.68	1.1834	0.1770	4.5415e-15	6.7915e-16	3.8378e-15
1147.7027	3511.59	1.3087	0.1851	5.0211e-15	7.1025e-16	3.8366e-15
1147.7327	3519.49	1.1847	0.1774	4.5437e-15	6.8032e-16	3.8354e-15
1147.7626	3527.40	1.0125	0.1646	3.8821e-15	6.3111e-16	3.8342e-15
1147.7925	3535.30	0.9856	0.1633	3.7778e-15	6.2586e-16	3.8331e-15
1147.8224	3543.20	1.2630	0.1828	4.8399e-15	7.0046e-16	3.8319e-15
1147.8523	3551.11	0.8873	0.1546	3.3990e-15	5.9235e-16	3.8308e-15
1147.8822	3559.01	1.0864	0.1700	4.1603e-15	6.5091e-16	3.8296e-15
1147.9121	3566.92	0.9509	0.1595	3.6406e-15	6.1053e-16	3.8285e-15
1147.9420	3574.82	0.9296	0.1587	3.5580e-15	6.0729e-16	3.8273e-15
1147.9719	3582.73	1.0001	0.1630	3.8267e-15	6.2356e-16	3.8262e-15
1148.0019	3590.63	0.9286	0.1573	3.5522e-15	6.0150e-16	3.8251e-15
1148.0318	3598.54	0.9581	0.1598	3.6638e-15	6.1124e-16	3.8240e-15
1148.0617	3606.44	1.1127	0.1722	4.2537e-15	6.5844e-16	3.8229e-15
1148.0916	3614.34	0.8513	0.1505	3.2534e-15	5.7513e-16	3.8219e-15
1148.1215	3622.25	1.1763	0.1766	4.4945e-15	6.7489e-16	3.8208e-15
1148.1514	3630.15	0.7840	0.1448	2.9947e-15	5.5316e-16	3.8197e-15
1148.1813	3638.06	0.8643	0.1515	3.3003e-15	5.7858e-16	3.8187e-15
1148.2112	3645.96	1.1847	0.1764	4.5228e-15	6.7337e-16	3.8176e-15
1148.2411	3653.87	0.8559	0.1512	3.2665e-15	5.7705e-16	3.8166e-15
1148.2710	3661.77	1.0611	0.1672	4.0486e-15	6.3803e-16	3.8155e-15
1148.3010	3669.67	1.1109	0.1709	4.2377e-15	6.5177e-16	3.8145e-15
1148.3309	3677.58	1.1035	0.1702	4.2081e-15	6.4893e-16	3.8134e-15
1148.3608	3685.48	0.9383	0.1581	3.5770e-15	6.0256e-16	3.8124e-15
1148.3907	3693.39	0.6108	0.1297	2.3281e-15	4.9422e-16	3.8114e-15
1148.4206	3701.29	0.9656	0.1596	3.6793e-15	6.0823e-16	3.8103e-15
1148.4505	3709.20	1.0288	0.1654	3.9192e-15	6.3003e-16	3.8093e-15
1148.4804	3717.10	0.9950	0.1619	3.7891e-15	6.1672e-16	3.8083e-15
1148.5103	3725.00	1.2612	0.1816	4.8019e-15	6.9148e-16	3.8073e-15
1148.5402	3732.91	1.0560	0.1670	4.0196e-15	6.3581e-16	3.8062e-15
1148.5701	3740.81	1.0010	0.1641	3.8091e-15	6.2425e-16	3.8052e-15
1148.6001	3748.72	0.8910	0.1570	3.3894e-15	5.9725e-16	3.8042e-15
1148.6300	3756.62	1.2199	0.1791	4.6394e-15	6.8124e-16	3.8032e-15
1148.6599	3764.53	0.9818	0.1608	3.7331e-15	6.1138e-16	3.8022e-15
1148.6898	3772.43	1.0314	0.1668	3.9204e-15	6.3413e-16	3.8012e-15
1148.7197	3780.33	1.0394	0.1653	3.9500e-15	6.2834e-16	3.8002e-15
1148.7496	3788.24	0.9535	0.1586	3.6224e-15	6.0262e-16	3.7992e-15
1148.7795	3796.14	0.7424	0.1497	2.8197e-15	5.6846e-16	3.7982e-15
1148.8094	3804.05	0.9131	0.1566	3.4672e-15	5.9470e-16	3.7972e-15
1148.8393	3811.95	0.9054	0.1558	3.4372e-15	5.9132e-16	3.7962e-15
1148.8692	3819.86	0.9091	0.1589	3.4503e-15	6.0312e-16	3.7952e-15
1148.8991	3827.76	0.8163	0.1526	3.0972e-15	5.7894e-16	3.7942e-15
1148.9291	3835.67	0.9861	0.1628	3.7406e-15	6.1739e-16	3.7933e-15
1148.9590	3843.57	1.0260	0.1645	3.8909e-15	6.2371e-16	3.7923e-15
1148.9889	3851.47	0.9636	0.1597	3.6532e-15	6.0559e-16	3.7913e-15
1149.0188	3859.38	1.1213	0.1718	4.2501e-15	6.5108e-16	3.7903e-15
1149.0487	3867.28	1.2322	0.1801	4.6694e-15	6.8231e-16	3.7894e-15
1149.0786	3875.19	0.9261	0.1578	3.5085e-15	5.9782e-16	3.7884e-15
1149.1085	3883.09	1.2012	0.1795	4.5494e-15	6.7988e-16	3.7874e-15
1149.1384	3891.00	0.9659	0.1603	3.6573e-15	6.0688e-16	3.7865e-15
1149.1683	3898.90	1.2713	0.1824	4.8124e-15	6.9036e-16	3.7855e-15
1149.1982	3906.80	0.9662	0.1609	3.6565e-15	6.0907e-16	3.7845e-15
1149.2282	3914.71	0.9677	0.1601	3.6615e-15	6.0567e-16	3.7836e-15
1149.2581	3922.61	1.0690	0.1687	4.0437e-15	6.3827e-16	3.7826e-15
1149.2880	3930.52	0.9687	0.1599	3.6635e-15	6.0451e-16	3.7817e-15
1149.3179	3938.42	0.9560	0.1590	3.6146e-15	6.0110e-16	3.7807e-15
1149.3478	3946.33	0.9859	0.1620	3.7266e-15	6.1238e-16	3.7798e-15
1149.3777	3954.23	0.9429	0.1577	3.5632e-15	5.9604e-16	3.7789e-15
1149.4076	3962.13	0.8918	0.1569	3.3693e-15	5.9261e-16	3.7779e-15
1149.4375	3970.04	0.6416	0.1364	2.4234e-15	5.1525e-16	3.7770e-15
1149.4674	3977.94	0.8488	0.1499	3.2050e-15	5.6614e-16	3.7761e-15
1149.4974	3985.85	0.7656	0.1455	2.8903e-15	5.4926e-16	3.7751e-15
1149.5273	3993.75	1.0252	0.1647	3.8694e-15	6.2178e-16	3.7742e-15
1149.5572	4001.66	1.0483	0.1658	3.9556e-15	6.2560e-16	3.7733e-15
1149.5871	4009.56	0.8694	0.1534	3.2796e-15	5.7886e-16	3.7724e-15
1149.6170	4017.46	1.0297	0.1645	3.8835e-15	6.2056e-16	3.7715e-15
1149.6469	4025.37	0.9551	0.1624	3.6012e-15	6.1245e-16	3.7705e-15
1149.6768	4033.27	0.9743	0.1603	3.6727e-15	6.0412e-16	3.7696e-15
1149.7067	4041.18	1.1631	0.1743	4.3835e-15	6.5689e-16	3.7687e-15
1149.7366	4049.08	0.9607	0.1614	3.6197e-15	6.0805e-16	3.7678e-15
